flag,url,t,c,d,R,R_result
flag,url,t,c,d,R,R_result
nginx,http://42.247.39.61/index.html,2,16,1s,1000,979.19
nginx,http://42.247.39.61/index.html,2,16,1s,1000,975.52
nginx,http://42.247.39.61/index.html,2,16,1s,1000,977.82
nginx,http://42.247.39.61/index.html,2,16,1s,1000,976.85
nginx,http://42.247.39.61/index.html,2,16,1s,1000,902.29
nginx,http://42.247.39.61/index.html,2,16,1s,1000,976.18
dpdk-nginx,http://42.247.39.61/index.html,2,16,1s,1000,970.00
nginx,http://42.247.39.61/index.html,2,16,1s,1000,976.24
nginx,http://42.247.39.61/index.html,2,16,1s,1000,924.25
nginx,http://42.247.39.61/index.html,2,16,1s,1000,969.41
nginx,http://42.247.39.61/index.html,2,16,1s,1000,967.03
nginx,http://42.247.39.61/index.html,2,16,1s,1000,971.84
dpdk-nginx,http://42.247.39.61/index.html,2,16,1s,1000,910.24
dpdk-nginx,http://42.247.39.62/index.html,2,16,1s,1000,or
dpdk-nginx,http://[2001:DA8:D80C::b]/index.html,2,16,1s,1000,or
dpdk-nginx,http://[2001:DA8:D80C::b]/media/video2_50k_r15.mp4,2,16,1s,1000,errors:
nginx,http://42.247.39.61/index.html,2,16,1s,1000,976.51
nginx,http://42.247.39.61/index.html,2,16,1s,1000,972.05
nginx,http://42.247.39.61/index.html,2,16,1s,1000,961.70
nginx,http://42.247.39.61/index.html,2,16,1s,1000,971.22
nginx,http://42.247.39.61/index.html,2,16,1s,1000,483.07
dpdk-nginx,http://42.247.39.61/index.html,2,16,1s,1000,974.64
dpdk-nginx,http://42.247.39.62/index.html,2,16,1s,1000,or
dpdk-nginx,http://[2001:DA8:D80C::b]/index.html,2,16,1s,1000,or
dpdk-nginx,http://42.247.39.62/media/video2_50k_r15.mp4,2,16,1s,1000,1.40
dpdk-nginx,http://[2001:DA8:D80C::b]/media/video2_50k_r15.mp4,2,16,1s,1000,errors:
dpdk-nginx,http://42.247.39.62/media/video2_50k_r15.mp4,2,16,1s,1000,1.48
dpdk-nginx,http://42.247.39.62/media/video2_50k_r15.mp4,2,16,1s,1000,2.12
nginx,http://42.247.39.61/index.html,2,16,1s,1000,925.95
nginx,http://42.247.39.61/index.html,2,16,1s,1000,974.14
nginx,http://42.247.39.61/index.html,2,16,1s,1000,970.37
nginx,http://42.247.39.61/index.html,2,16,1s,1000,968.83
nginx,http://42.247.39.61/index.html,2,16,1s,1000,972.68
dpdk-nginx,http://42.247.39.61/index.html,2,16,1s,1000,967.17
dpdk-nginx,http://42.247.39.62/index.html,2,16,1s,1000,or
dpdk-nginx,http://[2001:DA8:D80C::b]/index.html,2,16,1s,1000,or
dpdk-nginx,http://42.247.39.62/media/video2_50k_r15.mp4,2,16,1s,1000,1.53
dpdk-nginx,http://[2001:DA8:D80C::b]/media/video2_50k_r15.mp4,2,16,1s,1000,errors:
